Frequency,Nominal,Min,Max
1,339841.58048434166,283674.5057542174,424236.9637623221
1.02,333226.01632045786,278170.913733508,415956.2759416586
1.04,326865.8220934467,272880.1249533808,407994.80453375704
1.06,320746.5425014066,267790.0932347929,400334.4804870334
1.08,314854.7929982169,262889.66469545255,392958.57319448673
1.1,309178.1624521188,258168.49663197566,385851.5688169253
1.12,303705.12623373664,253616.98509323987,378999.061642988
1.15,295854.0740935098,247088.45925133777,369168.43683195615
1.18,288404.05711346254,240894.11667044566,359839.1160549769
1.2,283645.32262298896,236937.83398414205,353879.5039674068
1.22,279043.39751777577,233112.21990829182,348115.90827989543
1.25,272418.06160513835,227605.0806954354,339817.46334627253
1.28,266104.97022239194,222358.13152000873,331909.33499700844
1.3,262059.03613080745,218995.81886731664,326840.7474930639
1.32,258136.42998270201,215736.27316892165,321926.3249574117
1.35,252471.76957301184,211029.64989593287,314828.7617784468
1.38,247054.9544660054,206529.54962365556,308041.0169785633
1.4,243573.56746661972,203637.66032495606,303678.1392686176
1.42,240190.9186797755,200828.04609152733,299438.6897294109
1.45,235293.14127504826,196760.44165155894,293299.77043344604
1.48,230595.36870808963,192859.49216293995,287410.86975405255
1.5,227568.70740366675,190346.50617130328,283616.42691300425
1.55,220346.45414613394,184351.00943379707,274560.84520026675
1.6,213579.29607833823,178734.71223801066,266074.1696333188
1.65,207225.85492620667,173463.13135580707,258104.67847990367
1.7,201249.62028040882,168505.84012787364,250606.73483059296
1.75,195618.25418857567,163835.888957573,243539.9173388542
1.8,190303.0116488491,159429.32238922518,236868.2958377859
1.85,185278.25507748255,155264.77449808808,230559.82442442092
1.9,180521.04543948272,151323.12816619483,224585.83037283522
1.95,176010.79628225823,147587.2267773522,218920.58167601912
2,171728.97966424833,144041.62915794473,213540.919456479
2.05,167658.87511841272,140672.40038011165,208425.94417041866
2.1,163785.35447810404,137466.93245023157,203556.74663990428
2.15,160094.696727261,134413.7900176625,198916.1766154342
2.2,156574.42809832387,131502.5771232397,194488.6428981667
2.25,153213.18349044927,128723.82171467718,190259.94011252603
2.3,150000.5859636288,126068.87522521171,186217.09807369325
2.35,146927.14161655647,123529.82497202525,182348.25038478756
2.4,143984.1476047793,121099.4175048923,178642.51945940664
2.45,141163.61142194836,118770.99134073229,175089.9156230469
2.5,138458.1798673348,116538.41777003802,171681.24832235993
2.55,135861.07637012278,114396.04862727367,168408.04778038524
2.6,133366.0455455284,112338.6700877825,165262.49569157
