Frequency,Nominal,Min,Max
1,-85.15553747930234,-86.15977713431536,-84.13505028821021
1.02,-85.05912318747077,-86.08320940349886,-84.01859344069898
1.04,-84.96273693855986,-86.00665568158661,-83.9021861740758
1.06,-84.86637926563978,-85.9301162379861,-83.78582941706645
1.08,-84.77005070081815,-85.85359134180048,-83.66952409592449
1.1,-84.67375177522294,-85.777081261823,-83.5532711343892
1.12,-84.5774830189855,-85.70058626653146,-83.43707145364394
1.15,-84.43313760933928,-85.58587264388436,-83.2628738426939
1.18,-84.28886305243061,-85.47119446870342,-83.08880126877546
1.2,-84.19272025441698,-85.39476249043224,-82.97282387046256
1.22,-84.09661026088123,-85.31834693431182,-82.85690431907935
1.25,-83.95250792448309,-85.20375497446992,-82.68313543388682
1.28,-83.80848233956411,-85.08920146177876,-82.5095017821676
1.3,-83.71250879073315,-85.01285425539466,-82.39382263981152
1.32,-83.61657065409055,-84.93652479991874,-82.27820584055215
1.35,-83.4727309799411,-84.82206447846951,-82.10489948190548
1.38,-83.32897389205185,-84.70764558350375,-81.931738390224
1.4,-83.23318257289215,-84.63138977430012,-81.81637983691562
1.42,-83.13742924420116,-84.55515303538185,-81.70108804805082
1.45,-82.99387160283884,-84.44083425831596,-81.52827746100661
1.48,-82.85040231407766,-84.32655986521411,-81.35562200080585
1.5,-82.75480605398161,-84.25040203025685,-81.24060598618816
1.55,-82.51599385997402,-84.06009717366423,-80.9533789168321
1.6,-82.2774429024534,-83.86992375537804,-80.66660962628089
1.65,-82.0391610095979,-83.67988582503868,-80.38031135354963
1.7,-81.80115595470981,-83.48998741459476,-80.09449720012307
1.75,-81.5634354548265,-83.3002325378164,-79.80918012684911
1.8,-81.32600716935903,-83.11062518981431,-79.52437295093036
1.85,-81.08887869875907,-82.92116934656507,-79.24008834301489
1.9,-80.85205758321467,-82.73186896444213,-78.95633882438752
1.95,-80.61555130137536,-82.54272797975335,-78.67313676426268
2,-80.37936726910698,-82.35375030828475,-78.3904943771794
2.05,-80.14351283827658,-82.16493984485057,-78.1084237204999
2.1,-79.907995295568,-81.97630046285023,-77.826936692012
2.15,-79.67282186132829,-81.78783601383174,-77.54604502763583
2.2,-79.4379996884454,-81.59955032706182,-77.26576029923582
2.25,-79.20353586125746,-81.41144720910327,-76.98609391253784
2.3,-78.96943739449385,-81.22353044339897,-76.70705710515173
2.35,-78.73571123224852,-81.03580378986322,-76.42866094469969
2.4,-78.50236424698551,-80.84827098448005,-76.15091632705011
2.45,-78.26940323857715,-80.66093573890917,-75.87383397465696
2.5,-78.036834933375,-80.47380174009882,-75.59742443500446
2.55,-77.8046659833136,-80.28687264990644,-75.32169807915665
2.6,-77.57290296504732,-80.10015210472667,-75.04666510041152
2.7,-77.11062064917044,-79.72735106549118,-74.49871915124282
2.75,-76.88011412116423,-79.54127771367004,-74.22582566792373
2.8,-76.65003906266828,-79.35542719064055,-73.95366453394615
2.85,-76.4204016621517,-79.16980300017238,-73.68224503720454
2.9,-76.19120802832266,-78.98440861850251,-73.41157628191004
2.95,-75.9624641894982,-78.79924749401778,-73.14166718795602
3,-75.73417609300719,-78.61432304694537,-72.87252649038116
3.05,-75.50634960462638,-78.42963866905137,-72.60416273892896
3.1,-75.27899050804956,-78.24519772334745,-72.33658429770247
3.15,-75.05210450438958,-78.06100354380551,-72.06979934491265
3.2,-74.82569721171303,-77.87705943508067,-71.8038158727191
3.3,-74.37434081378198,-77.50993450051264,-71.27428440818093
3.4,-73.92496458223118,-77.14384876053046,-70.74805011995319
3.5,-73.47761043195324,-76.77882757058919,-70.22517025183177
3.6,-73.03231891551322,-76.41489579328572,-69.70569908574613
3.7,-72.58912921589575,-76.0520777914594,-69.1896879571211
3.9,-71.70920512127125,-75.32987802908885,-68.16823654779598
4,-71.27254220612471,-74.97054244069079,-67.66288441107746
4.1,-70.83812406627237,-74.61241296192695,-67.1611686626973
4.2,-70.40598299473716,-74.25551137169097,-66.66312629943657
4.32,-69.89046287700707,-73.82888015691292,-66.07037234581072
4.45,-69.3357920317399,-73.36876753948188,-65.43430946038129
4.58,-68.78514209746105,-72.91085173290443,-64.8046369557773
4.75,-68.07122287675358,-72.31542377412278,-63.99095022686818
4.88,-67.5300633378514,-71.86273669864143,-63.37621881033351
5,-67.03425390069387,-71.44693985381082,-62.814580012788724
5.15,-66.41957224995329,-70.93003158194487,-62.12040715052802
5.3,-65.81059368576946,-70.41632747020192,-61.43501965035239
5.5,-65.00759077756456,-69.73646258336576,-60.534880389706885
5.65,-64.4121291210598,-69.2304327998632,-59.87007779806197
5.8,-63.82253568464058,-68.72777031743937,-59.21410955119072
6,-63.04560205247523,-68.06286580903372,-58.353215210451154
6.15,-62.46983411863512,-67.56822339051827,-57.717820384622485
6.3,-61.900035118993905,-67.07708167086939,-57.091205100018
6.45,-61.33622366647815,-66.58947502594582,-56.47333544209526
6.6,-60.77841334720785,-66.10543529063816,-55.86417030032012
6.75,-60.22661290977363,-65.62499179955225,-55.2636618428987
6.88,-59.75325047726976,-65.21153723982366,-54.75018181999424
7,-59.3203099266813,-64.8323162099809,-54.28190193898855
7.15,-58.7845438853392,-64.36158757914339,-53.70419796433495
7.32,-58.18459957950522,-63.832548646957136,-53.059655234114665
7.5,-57.55775066948609,-63.27757536987166,-52.38888256295168
7.65,-57.041946497445345,-62.81919112031753,-51.838990130387735
7.8,-56.53209409546762,-62.364542382362174,-51.29726863213377
8,-55.86150887350684,-61.76417371197264,-50.58753444676796
8.2,-55.20139993035356,-61.170486057035845,-49.89196070076719
8.4,-54.551694830879626,-60.583493870904334,-49.21032676733662
8.6,-53.91231270275256,-60.00320566152442,-48.54240498607345
8.8,-53.2831649383819,-59.42962424296946,-47.88796185193264
9,-52.66415587121318,-58.862746988067656,-47.246759116272706
9.2,-52.0551834250705,-58.30256608105631,-46.61855480264023
9.4,-51.45613973558895,-57.74906876927809,-46.00310414038819
9.6,-50.866911743084366,-57.20223761301699,-45.40016041955756
9.8,-50.2873817564849,-56.662050732654315,-44.80947577069425
10,-49.717427988193954,-56.128482052404486,-44.23080187343727
10.2,-49.15692505997112,-55.60150153996848,-43.66389059780887
10.4,-48.60574448010653,-55.08107544151815,-43.108494582174416
10.6,-48.06375509232714,-54.56716651149629,-42.56436775182795
10.8,-47.530823497012236,-54.059734236786326,-42.031265782106416
11,-47.00681444541192,-53.558735054870894,-41.508946509850325
11.2,-46.49159120765794,-53.06412256565924,-40.99717029691676
11.5,-45.734927932558556,-52.33407095141688,-40.248757073844395
11.8,-44.99725388816712,-51.61810295189591,-39.522747926413516
12,-44.515788472354494,-51.148523520439,-39.05080840232201
12.2,-44.04241416387254,-50.6850631597759,-38.58826142620927
12.5,-43.347219053927674,-50.00121560276632,-37.91157378281124
12.8,-42.66944787045672,-49.33079533663768,-37.25480483426553
13,-42.22705093258273,-48.89120297027204,-36.82767749579072
13.2,-41.79205514152575,-48.45741892778463,-36.40888808514366
13.5,-41.153143015203405,-47.81748971694115,-35.795904922334095
13.8,-40.53012816548303,-47.1902565720746,-35.200585626575254
14,-40.12339713468908,-46.77904193895586,-34.81320758749156
14.2,-39.723404356766494,-46.3733003746167,-34.433218741169455
14.5,-39.13576979720792,-45.77479977024473,-33.87670431291796
14.8,-38.562583748087185,-45.188226181453025,-33.33583900356741
15,-38.1882809410246,-44.80368786547761,-32.983679441267576
15.5,-37.27902019317628,-43.864624439239584,-32.131578911010436
16,-36.40615105510516,-42.95652897970991,-31.31800480363201
16.5,-35.567913393810755,-42.07832875910696,-30.540708853982313
17,-34.76262456330639,-41.228964262764535,-29.79758530627287
17.5,-33.988679433432665,-40.40739365511812,-29.086663409961453
18,-33.24454956004432,-39.612596395049906,-28.406099778584153
18.5,-32.52878169245674,-38.84357610574003,-27.754170777739056
19,-31.83999578072763,-38.09936279600854,-27.129265063424928
19.5,-31.176882616589538,-37.37901452157842,-26.52987635663509
20,-30.5382012172636,-36.681618566097164,-25.954596512661958
20.5,-29.922776040549273,-36.006292213377286,-25.40210892243911
21,-29.329494102061588,-35.35218317433113,-24.871182267157007
21.5,-28.75730205085196,-34.71846972459602,-24.360664635289865
22,-28.205203247503565,-34.10436060193875,-23.869478002213306
22.5,-27.672254878775657,-33.50909470622284,-23.396613066091568
23,-27.157565134660125,-32.931940639021704,-22.94112442911871
23.5,-26.660290467022474,-32.3721961148504,-22.502126110074528
24,-26.179632943582934,-31.829187271440002,-22.078787372155414
24.5,-25.71483770663709,-31.302267902454957,-21.6703288488906
25,-25.265190542439157,-30.79081863251553,-21.276018950440655
25.5,-24.830015564420034,-30.294246051290994,-20.895170532530695
26,-24.408673011257953,-29.811981820732026,-20.52713781056505
27,-23.605094346379435,-28.888224968009766,-19.827126180779874
27.5,-23.221741107266297,-28.445712840936135,-19.494037828323844
28,-22.849982412016356,-28.015468242202587,-19.17154156664391
28.5,-22.489330008355005,-27.597034579125836,-18.85915955976625
29,-22.1393208606334,-27.189974940966707,-18.55644107075033
29.5,-21.79951568184973,-26.79387125139169,-18.262960662355088
30,-21.46949755396154,-26.408323444955894,-17.978316530280193
30.5,-21.148870631859303,-26.032948669396045,-17.702128958715736
31,-20.83725892642746,-25.66738051497898,-17.43403888870244
31.5,-20.534305162221514,-25.31126827169917,-17.173706590529353
32,-20.239669705425197,-24.964276214746004,-16.920810432076184
33,-19.67407741340128,-24.29638059790487,-16.436123716391375
34,-19.138081108877532,-23.661282199557565,-15.97772618639041
35,-18.629503866772385,-23.05676830638501,-15.543589637820512
36,-18.146368546055566,-22.48080693689513,-15.131883805284957
37,-17.686876440808813,-21.93153043742446,-14.740953468808275
39,-16.832408498295003,-20.90629508547687,-14.015556877673545
40,-16.434568789029992,-20.427295343409554,-13.678488915690368
41,-16.05461688532444,-19.968875406224992,-13.356964709625787
42,-15.691404171073613,-19.52979196193752,-13.049952221409336
43.2,-15.276165256853554,-19.026803305860298,-12.699368792699623
44.5,-14.849889004021934,-18.509343927539746,-12.339904856622468
