Frequency,Nominal,Min,Max
1,4.6663072512086363e-7,4.6527447288703747e-7,4.683229724191075e-7
1.02,4.6677419286289925e-7,4.6536480135050216e-7,4.6853291011142607e-7
1.04,4.669204667631255e-7,4.654569049294238e-7,4.6874692917496624e-7
1.06,4.6706954474818494e-7,4.655507828190184e-7,4.689650250648422e-7
1.08,4.6722142470182736e-7,4.6564643419822077e-7,4.691871931395932e-7
1.1,4.673761044647569e-7,4.657438582296467e-7,4.694134286607017e-7
1.12,4.675335818344756e-7,4.658430540595545e-7,4.69643726792099e-7
1.15,4.6777503847707196e-7,4.6599516801864744e-7,4.699967805631575e-7
1.18,4.680227769080067e-7,4.661512635565533e-7,4.703589470134544e-7
1.2,4.681914218102481e-7,4.6625753771442296e-7,4.7060544525651307e-7
1.22,4.683628526531004e-7,4.6636557915529615e-7,4.708559804483311e-7
1.25,4.6862521715138294e-7,4.6653095288356574e-7,4.712393406042362e-7
1.28,4.6889383595177815e-7,4.667002975652405e-7,4.7163175288682195e-7
1.3,4.6907638546092566e-7,4.6681539844400845e-7,4.7189838053553154e-7
1.32,4.692617081393658e-7,4.6693226167513895e-7,4.7216901695327656e-7
1.35,4.6954488595518936e-7,4.6711085866069157e-7,4.725824749900119e-7
1.38,4.6983428807513723e-7,4.672934150338809e-7,4.7300491885520434e-7
1.4,4.7003067608813293e-7,4.674173171410484e-7,4.732915298600601e-7
1.42,4.702298233711113e-7,4.6754297624911177e-7,4.73582118863735e-7
1.45,4.705337115324047e-7,4.677347568303093e-7,4.7402544693088944e-7
1.48,4.708437914345398e-7,4.6793048427975104e-7,4.744776886133034e-7
1.5,4.710539461596545e-7,4.68063160006624e-7,4.747841238183114e-7
1.55,4.715913320201087e-7,4.684025082760022e-7,4.7556745390421846e-7
1.6,4.7214581932141187e-7,4.687527825670703e-7,4.763753262697982e-7
1.65,4.7271735640673453e-7,4.691139631256462e-7,4.772076256264949e-7
1.7,4.7330588973214776e-7,4.6948602950913213e-7,4.780642322447368e-7
1.75,4.739113638432676e-7,4.6986896058072324e-7,4.789450663414886e-7
1.8,4.7453372135117065e-7,4.702627345034322e-7,4.798501868200887e-7
1.85,4.751729029075837e-7,4.7066724578898814e-7,4.807792332301634e-7
1.9,4.758288471793508e-7,4.7108210572281156e-7,4.81732067133593e-7
1.95,4.765014908221829e-7,4.7150772826492743e-7,4.827085452601998e-7
2,4.771907684536937e-7,4.7194408897811154e-7,4.837087190134516e-7
2.05,4.778966126257279e-7,4.72391162695788e-7,4.847322850835935e-7
2.1,4.786189537959875e-7,4.728489235147374e-7,4.857790398863091e-7
2.15,4.793577202989663e-7,4.7331734478762323e-7,4.868488198357315e-7
2.2,4.801128383161951e-7,4.737963991153382e-7,4.87941456074265e-7
2.25,4.808842318458147e-7,4.742860583391648e-7,4.890567743796207e-7
2.3,4.816718226714784e-7,4.7478629353275787e-7,4.90194595070229e-7
2.35,4.824755303306025e-7,4.752970749939467e-7,4.913547329091164e-7
2.4,4.832952720819733e-7,4.75818372236358e-7,4.92536997006347e-7
2.45,4.841309628727239e-7,4.763501539808607e-7,4.937411907201305e-7
2.5,4.849825153046982e-7,4.76892388146836e-7,4.949671115567139e-7
2.55,4.858498396002155e-7,4.774450418432688e-7,4.962145510691766e-7
2.6,4.867328435672558e-7,4.780080813596697e-7,4.974832947552581e-7
2.7,4.885455094633152e-7,4.791651788573565e-7,5.000838057438689e-7
2.75,4.894749746155073e-7,4.797591652361661e-7,5.014151128349579e-7
2.8,4.904197258121908e-7,4.803633942106419e-7,5.027668034680346e-7
2.85,4.913796582484777e-7,4.809778278307547e-7,5.041386313080119e-7
2.9,4.923546644852036e-7,4.816024272689683e-7,5.055303433395892e-7
2.95,4.933446344106554e-7,4.822371528099983e-7,5.069416797627416e-7
3,4.943494552019133e-7,4.828819638404089e-7,5.083723738886231e-7
3.05,4.95369011285834e-7,4.835368188380591e-7,5.09822152036105e-7
3.1,4.964031842997167e-7,4.842016753613963e-7,5.112907334291738e-7
3.15,4.974518530516764e-7,4.848764900386017e-7,5.127778300954345e-7
3.2,4.985148934807721e-7,4.85561218556593e-7,5.142831467659618e-7
3.3,5.006835785406629e-7,4.86960235089303e-7,5.173472219721582e-7
3.4,5.029081880837299e-7,4.883983512028676e-7,5.204804472709402e-7
3.5,5.05187622230507e-7,4.898751773535485e-7,5.236801880563524e-7
3.6,5.075207313232421e-7,4.913903078354511e-7,5.269436840917686e-7
3.7,5.09906314636038e-7,4.929433203981091e-7,5.302680469269224e-7
3.9,5.148298380282317e-7,4.961612177005549e-7,5.370871645103588e-7
4,5.1736510991753e-7,4.978251716860574e-7,5.405754819914069e-7
4.1,5.199475172214323e-7,4.995251454393407e-7,5.441117888316467e-7
4.2,5.225755852183578e-7,5.012606280452364e-7,5.47692527597869e-7
4.32,5.257873763134142e-7,5.033893314487113e-7,5.520428535677265e-7
4.45,5.293353143262739e-7,5.056285131489194e-7,5.568141875232753e-7
4.58,5.329509034125846e-7,5.077344462479461e-7,5.616377451030067e-7
4.75,5.377746255679014e-7,5.105101126517343e-7,5.68008930372716e-7
4.88,5.415313302246473e-7,5.126449695877872e-7,5.729173034088443e-7
5,5.45047284864283e-7,5.146217740248114e-7,5.777160249888093e-7
5.15,5.495018681013801e-7,5.170968656117262e-7,5.840459912800761e-7
5.3,5.54016064471901e-7,5.195715455830585e-7,5.904637121041892e-7
5.5,5.601148314318037e-7,5.228613254648227e-7,5.991358807476614e-7
5.65,5.647386720413431e-7,5.253144863508538e-7,6.057093680790827e-7
5.8,5.69396128501462e-7,5.277496961098138e-7,6.123267839241817e-7
6,5.756436996982692e-7,5.309598166792404e-7,6.211926875701863e-7
6.15,5.803462072833835e-7,5.333332235569691e-7,6.278538790588163e-7
6.3,5.850530569736579e-7,5.356718209493119e-7,6.345069770451056e-7
6.45,5.89754912127374e-7,5.379707747209524e-7,6.41134937587814e-7
6.6,5.944422203137487e-7,5.402253824571366e-7,6.477201482128333e-7
6.75,5.991052415845299e-7,5.424310890356276e-7,6.55482312499894e-7
6.88,6.031192359275348e-7,5.44299745989845e-7,6.622935604167035e-7
7,6.067960404162121e-7,5.459867460664518e-7,6.68620464612869e-7
7.15,6.113456095456529e-7,5.480410602055924e-7,6.765717006304717e-7
7.32,6.164274395970303e-7,5.502915845634916e-7,6.856233240017011e-7
7.5,6.217063358887109e-7,5.525788267967717e-7,6.952302157931693e-7
7.65,6.260130548842789e-7,5.544055264047582e-7,7.032341030635542e-7
7.8,6.302251677459593e-7,5.561567350148344e-7,7.112180945582155e-7
8,6.3567721987195e-7,5.583692707314274e-7,7.218014574019163e-7
8.2,6.409210033338982e-7,5.604362910513755e-7,7.322732421849713e-7
8.4,6.459347529138974e-7,5.623524321871885e-7,7.425871462428586e-7
8.6,6.50697822051277e-7,5.641131620025123e-7,7.526952731219288e-7
8.8,6.551909035479186e-7,5.65714787270843e-7,7.6254858487326e-7
9,6.593962388433539e-7,5.671544529122801e-7,7.720974313510758e-7
9.2,6.632978105954893e-7,5.684301333766001e-7,7.812921500504503e-7
9.4,6.668815135778744e-7,5.695406164845429e-7,7.900837260421169e-7
9.6,6.701352993955827e-7,5.704854801715053e-7,7.98424497539885e-7
9.8,6.730492912135947e-7,5.712650626949766e-7,8.062688888524916e-7
10,6.756158655553528e-7,5.718804269658802e-7,8.135741492414684e-7
10.2,6.778296992243976e-7,5.72333319742294e-7,8.203010738462806e-7
10.4,6.796877804792534e-7,5.726261264804542e-7,8.26414681631448e-7
10.6,6.811893846962186e-7,5.72761822672105e-7,8.318848254717985e-7
10.8,6.823360158304385e-7,5.727439225096333e-7,8.366867111332138e-7
11,6.83131315979577e-7,5.725764257122125e-7,8.40801305012913e-7
11.2,6.835809462203483e-7,5.722637633193351e-7,8.442156149251484e-7
11.5,6.836242181336872e-7,5.715331912100443e-7,8.480108512582169e-7
11.8,6.829395499570585e-7,5.705044224745586e-7,8.502195680576049e-7
12,6.820980533759303e-7,5.696621414281871e-7,8.508257266606339e-7
12.2,6.809638190956798e-7,5.687014413334522e-7,8.507574270138842e-7
12.5,6.787448552898725e-7,5.670513085828345e-7,8.4943865527715e-7
12.8,6.75950223498502e-7,5.651682907313214e-7,8.467421374723572e-7
13,6.737935461749035e-7,5.637936130393579e-7,8.442316089334032e-7
13.2,6.714207263834122e-7,5.623304692280232e-7,8.411914145819158e-7
13.5,6.674914785187417e-7,5.599828296525626e-7,8.357189958709107e-7
13.8,6.631660548527297e-7,5.574690717326e-7,8.292667473929313e-7
14,6.600883498920606e-7,5.557103443275215e-7,8.24485256901498e-7
14.2,6.568730031837743e-7,5.538916686475728e-7,8.193643949226509e-7
14.5,6.518235926740438e-7,5.510627217509952e-7,8.111281614125844e-7
14.8,6.46543797767325e-7,5.481276962994763e-7,8.0233286531551e-7
15,6.429175608449328e-7,5.461200328012046e-7,7.962148519934299e-7
15.5,6.335662559370197e-7,5.409548446246209e-7,7.802530382707497e-7
16,6.239389952802318e-7,5.356317545092667e-7,7.636762063239125e-7
16.5,6.141782979161019e-7,5.302073449490481e-7,7.468398061891529e-7
17,6.044012841935443e-7,5.247304457014207e-7,7.300248802041046e-7
17.5,5.947019888649618e-7,5.192426039029329e-7,7.134459724544923e-7
18,5.851541229326764e-7,5.137786813468118e-7,6.972609134564217e-7
18.5,5.758139531880663e-7,5.083675160579855e-7,6.815808671824798e-7
19,5.667230829279088e-7,5.030326016612309e-7,6.664796908159368e-7
19.5,5.579110065932714e-7,4.974239215770555e-7,6.533807208439031e-7
20,5.493973756035201e-7,4.901824892612739e-7,6.419569355376739e-7
20.5,5.411939561932593e-7,4.83328124712761e-7,6.30794829805489e-7
21,5.333062873180969e-7,4.768408549516462e-7,6.199395859629769e-7
21.5,5.257350621615499e-7,4.707007081289431e-7,6.094228710617462e-7
22,5.184772641866299e-7,4.6488806312795755e-7,5.992653869508486e-7
22.5,5.115270908962637e-7,4.5938388984066125e-7,5.894790685279712e-7
23,5.04876697563085e-7,4.5416990756314284e-7,5.803759231365032e-7
23.5,4.98516790578148e-7,4.4922868260157454e-7,5.730192626395732e-7
24,4.924370966758078e-7,4.445436812001135e-7,5.658260579190343e-7
24.5,4.866267306930103e-7,4.4009929003204373e-7,5.588100847775168e-7
25,4.810744810493136e-7,4.3588081350782626e-7,5.519812743412339e-7
25.5,4.757690289644247e-7,4.318744548593922e-7,5.453463334403736e-7
26,4.706991146380753e-7,4.2806728620552026e-7,5.389092890162173e-7
27,4.612218653545744e-7,4.2100292497932254e-7,5.266343682986612e-7
27.5,4.5679326145998683e-7,4.177238679015722e-7,5.207950777759745e-7
28,4.5255776538578234e-7,4.1460018390060524e-7,5.151514971946532e-7
28.5,4.4850570211047074e-7,4.11622675202463e-7,5.097001242699355e-7
29,4.4462782109055276e-7,4.087827597367376e-7,5.044367544959958e-7
29.5,4.409153021859045e-7,4.060724298756786e-7,4.99356654438802e-7
30,4.373597544651361e-7,4.034842130837034e-7,4.944547053248123e-7
30.5,4.339532097120276e-7,4.0101113466100323e-7,4.897255213454987e-7
31,4.3068811206585843e-7,3.9864668266835227e-7,4.851635465474416e-7
31.5,4.2755730491819866e-7,3.963847750508756e-7,4.807631336655296e-7
32,4.2455401594136916e-7,3.9421972892961507e-7,4.765186077911109e-7
33,4.1890472695682945e-7,3.901593159229721e-7,4.6847467450522167e-7
34,4.136931243674039e-7,3.864269267148988e-7,4.609874812705106e-7
35,4.08877163399656e-7,3.8298880096165853e-7,4.5401462910205597e-7
36,4.0441934619930635e-7,3.798152809659075e-7,4.475161085406153e-7
37,4.0028622512606747e-7,3.7688025226457846e-7,4.414545571345262e-7
39,3.9287784381250234e-7,3.7163612873544387e-7,4.305065254817874e-7
40,3.8955206178662224e-7,3.6928855696315296e-7,4.2555877028302573e-7
41,3.864492390862547e-7,3.6710187468695925e-7,4.209251909979417e-7
42,3.835502161429998e-7,3.650617591131102e-7,4.1658119405371674e-7
43.2,3.8031629583208156e-7,3.627891768260109e-7,4.117191424395231e-7
44.5,3.770855390080344e-7,3.605220319728896e-7,4.0684539518938e-7
45.8,3.7410958018963037e-7,3.584363695096457e-7,4.023420609676265e-7
47.5,3.7055966252861325e-7,3.559515800981906e-7,3.969534761431013e-7
48.8,3.680778920950785e-7,3.54216303159656e-7,3.9317598647429263e-7
50,3.6594746518173026e-7,3.5272779344015596e-7,3.8992684109017743e-7
51.5,3.6348003361033026e-7,3.5100496289035615e-7,3.861566528978166e-7
53,3.612083761770127e-7,3.4941976464849706e-7,3.826792569338876e-7
55,3.584493102424658e-7,3.4749540569277153e-7,3.784481487723971e-7
56.5,3.565598029976763e-7,3.4617796660517066e-7,3.755461209080752e-7
58,3.5480759018285676e-7,3.449564222613651e-7,3.728520644095528e-7
60,3.5266229325402903e-7,3.434608480874007e-7,3.695502838292988e-7
61.5,3.5118172835116384e-7,3.424285351312073e-7,3.6726973926939686e-7
63,3.498000612373792e-7,3.4146493842652054e-7,3.65140428973354e-7
64.5,3.485084410168511e-7,3.4056382045778003e-7,3.6314915005073474e-7
66,3.472989718832634e-7,3.3971962601398594e-7,3.6128408317953843e-7
67.5,3.461645930291115e-7,3.389273949732899e-7,3.595346252311703e-7
