Frequency,Nominal,Min,Max
1,-10.79327064247025,-13.072723228888938,-8.558300544574822
1.02,-11.009374246140247,-13.334599651391885,-8.729586089083137
1.04,-11.225492084338212,-13.596501352891833,-8.900878761898028
1.06,-11.44162444418856,-13.858428848806096,-9.072178705412272
1.08,-11.657771613245247,-14.120382655560139,-9.243486062163992
1.1,-11.873933879496459,-14.382363290593359,-9.414800974838784
1.12,-12.090111531369102,-14.64437127236414,-9.586123586271707
1.15,-12.414407489243294,-15.037435656799996,-9.843122251417679
1.18,-12.73873969165378,-15.43056449805464,-10.100139043754488
1.2,-12.954981779200816,-15.692687071872074,-10.271493881630144
1.22,-13.171240701226852,-15.95483960012539,-10.442857134750607
1.25,-13.495661285913052,-16.348125704991617,-10.699918107562647
1.28,-13.820121387918114,-16.7414821629981,-10.95699882412332
1.3,-14.03645056393072,-17.00375976564491,-11.128397177585496
1.32,-14.25279803479781,-17.266069956196766,-11.299804666799512
1.35,-14.57735418608404,-17.659597503495025,-11.556933346519983
1.38,-14.901953153777903,-18.053201358048536,-11.814083395833098
1.4,-15.118376743698136,-18.315647208038904,-11.985528875794152
1.42,-15.334820100678204,-18.578128304871544,-12.156984216241042
1.45,-15.659522846749002,-18.971917208042214,-12.414186033586626
1.48,-15.984271735156014,-19.36578842906492,-12.671410856086203
1.5,-16.20079712395784,-19.628415870744057,-12.842907094958116
1.55,-16.742204222821922,-20.285151600825017,-13.271694341970216
1.6,-17.28374880957974,-20.942132839131332,-13.700550063791004
1.65,-17.825435569108784,-21.59936806114848,-14.129476556787035
1.7,-18.367269204753587,-22.25686577521769,-14.558476124601357
1.75,-18.909254438082602,-22.91463452048902,-14.987551078217086
1.8,-19.45139600857163,-23.572682864604673,-15.416703736006166
1.85,-19.993698673212144,-24.231019401106693,-15.845936423762884
1.9,-20.53616720604271,-24.889652746563268,-16.275251474721767
1.95,-21.07880639760162,-25.548591537407976,-16.704651229559428
2,-21.62162105429914,-26.20784442648681,-17.134138036379998
2.05,-22.16461599770747,-26.86742007930782,-17.563714250683763
2.1,-22.707796063767095,-27.52732716998848,-17.99338223531857
2.15,-23.25116610190739,-28.187574376896272,-18.423144360413723
2.2,-23.794730974080636,-28.84817037797833,-18.853003003295868
2.25,-24.338495553707023,-29.50912384577575,-19.282960548386583
2.3,-24.882464724530067,-30.170443442119296,-19.713019387081356
2.35,-25.4266433793803,-30.832137812502673,-20.14318191760943
2.4,-25.97103641884618,-31.494215580130597,-20.573450544874333
2.45,-26.515648749850975,-32.156685339638734,-21.003827680274654
2.5,-27.060485284133975,-32.81955565048295,-21.434315741504733
2.55,-27.60555093663525,-33.48283502999629,-21.864917152334986
2.6,-28.150850623782436,-34.14653194611138,-22.29563434237145
2.7,-29.242171764190267,-35.47521196686084,-23.157425806075057
2.75,-29.788203040934132,-36.14021169015865,-23.58850496567185
2.8,-30.334487995162366,-36.8056621704755,-24.019709675703144
2.85,-30.881031521544774,-37.47157150781353,-24.45104239059879
2.9,-31.427838503847624,-38.13794770204725,-24.882505568728714
2.95,-31.974913812508323,-38.80479864329376,-25.31410167200873
3,-32.52226230210511,-39.47213210195108,-25.745833165483234
3.05,-33.069888808721366,-40.1399557184064,-26.17770251688448
3.1,-33.61779814720414,-40.808276992417426,-26.60971219616837
3.15,-34.16599510831641,-41.47710327217075,-27.04186467502613
3.2,-34.71448445578262,-42.146441743020816,-27.47416242637213
3.3,-35.81235921100875,-43.486683115506935,-28.33920364105729
3.4,-36.911459862913304,-44.8290548885288,-29.20485562699223
3.5,-38.011823221882935,-46.17360746302486,-30.071138153596838
3.6,-39.11348534533006,-47.52038744914232,-30.93807095217821
3.7,-40.216481417581775,-48.869437235790684,-31.805673693534033
3.9,-42.42661101283922,-51.574491966267445,-33.54296723925078
4,-43.533809364758376,-52.93055649145737,-34.412696857863374
4.1,-44.642471037179114,-54.289009020691026,-35.28317399126126
4.2,-45.75262481666629,-55.64986387281811,-36.15441761340385
4.32,-47.08681689758649,-57.286070421578586,-37.200948098330116
4.45,-48.534710090499765,-59.06253985642316,-38.33600240478045
4.58,-49.98527012845472,-60.843053191514265,-39.47246082540841
4.75,-51.8862498800668,-63.1774312477597,-40.960781566895044
