Frequency,Nominal,Min,Max
1,-0.18837810976994956,-0.22816206254605625,-0.14937052287805436
1.02,-0.19214982917941592,-0.23273266835207645,-0.15236001959079576
1.04,-0.1959217970282628,-0.23730371535982592,-0.155349640715957
1.06,-0.19969401832775657,-0.2418752125650338,-0.15833938873876086
1.08,-0.20346649809666056,-0.2464471689810248,-0.1613292661469669
1.1,-0.20723924136131683,-0.2510195936388201,-0.16431927543090857
1.12,-0.21101225315572453,-0.2555924955872255,-0.16730941908352798
1.15,-0.216672285371538,-0.26245276326795597,-0.17179489196355557
1.18,-0.2223329501738457,-0.2693141559323996,-0.17628068122274745
1.2,-0.22610708658292727,-0.2738890578893157,-0.1792713873328987
1.22,-0.2298815168090953,-0.27846448264976353,-0.18226224031677923
1.25,-0.2355437241731146,-0.28532862008202287,-0.18674880067072896
1.28,-0.24120662124445957,-0.29219398540821884,-0.19123570561809902
1.3,-0.24498227763400587,-0.2967715931286431,-0.19422717121851102
1.32,-0.2487582533289991,-0.3013497696153067,-0.19721879626787225
1.35,-0.25442282677654465,-0.308218121012959,-0.20170653833030047
1.38,-0.26008814751137727,-0.31508780422345867,-0.20619465336248008
1.4,-0.26386545173447135,-0.3196683484139857,-0.20918694147546246
1.42,-0.267643100957843,-0.32424950777796135,-0.2121794016863885
1.45,-0.2733102329670455,-0.33112242069610665,-0.216668420241182
1.48,-0.2789781703119395,-0.3379967703318032,-0.22115784031165758
1.5,-0.28275725126069223,-0.3425804838951935,-0.22415101433475917
1.55,-0.2922065877295409,-0.354042684700595,-0.23163476358568252
1.6,-0.30165832381481694,-0.36550917043286973,-0.23911970794747217
1.65,-0.3111125412830575,-0.37698008901714486,-0.2466058874992853
1.7,-0.32056932222311063,-0.38845558895198884,-0.25409334244727794
1.75,-0.3300287490418916,-0.39993581927368543,-0.26158211312571433
1.8,-0.3394909044588581,-0.4114209295158002,-0.26907223999781826
1.85,-0.3489558714991737,-0.4229110696639363,-0.27656376365635776
1.9,-0.35842373348553,-0.4344063901055788,-0.2840567248239575
1.95,-0.36789457402859327,-0.4459070415749292,-0.2915511643531311
2,-0.37736847701604764,-0.4574131750926398,-0.2990471232260269
2.05,-0.3868455266002033,-0.4689249419003575,-0.30654464255388036
2.1,-0.39632580718414406,-0.4804424933899918,-0.31404376357616615
2.15,-0.4058094034063794,-0.491965981027629,-0.32154452765944436
2.2,-0.4152964001239846,-0.5034955562720189,-0.32904697629589225
2.25,-0.42478688239418794,-0.5150313704875582,-0.33655115110151723
2.3,-0.4342809354543935,-0.526573574851713,-0.3440570938140442
2.35,-0.4437786447006039,-0.5381223202568137,-0.3515648462904697
2.4,-0.4532800956642229,-0.549677757206175,-0.3590744505042785
2.45,-0.4627853739872178,-0.5612400357044869,-0.3665859485423155
2.5,-0.4722945653956111,-0.5728093051424368,-0.3740993826013074
2.55,-0.48180775567128964,-0.5843857141755295,-0.38161479498402806
2.6,-0.49132503062210303,-0.5959694105970705,-0.3891322280951025
2.7,-0.510372177718839,-0.6191592516646152,-0.40417332660231164
2.75,-0.5199022213168878,-0.6307656863610133,-0.41169707727400573
2.8,-0.529436692422277,-0.64237998825152,-0.4192230192141593
2.85,-0.5389756764631105,-0.6540022987078422,-0.4267511952606543
2.9,-0.5485192586771896,-0.6656327573541299,-0.43428164832014027
2.95,-0.5580675240696831,-0.6772715018989047,-0.441814421361154
3,-0.567620557368965,-0.6889186679611965,-0.4493495574068365
3.05,-0.577178442980613,-0.7005743888909175,-0.45688709952724066
3.1,-0.5867412649395616,-0.7122387955835331,-0.4644270908312293
3.15,-0.596309106860398,-0.7239120162890933,-0.4719695744579524
3.2,-0.6058820518857986,-0.735594176415691,-0.4795145935679078
3.3,-0.6250435811390214,-0.7589858011370216,-0.49461241092961494
3.4,-0.6442265063255719,-0.7824146083620872,-0.5097208882606074
3.5,-0.6634314699078963,-0.8058814777532096,-0.5248403706023531
3.6,-0.6826591012065608,-0.8293872228109229,-0.5399712023311269
3.7,-0.7019100143039185,-0.8529325833612639,-0.5551137267671148
3.9,-0.7404840526369305,-0.9001446948547311,-0.5854352192135186
4,-0.7598083093505748,-0.9238124856887888,-0.6006148646604229
4.1,-0.7791581058249835,-0.9475219550559608,-0.615807556701538
4.2,-0.7985339444804938,-0.971273352867319,-0.6310136264949275
4.32,-0.8218199891465858,-0.9998305443858824,-0.6492790291793837
4.45,-0.8470904925801359,-1.030835785084963,-0.6690894640158829
4.58,-0.8724075412403038,-1.061911605157968,-0.6889244052678554
4.75,-0.9055858969196786,-1.1026541882257561,-0.7149005025325205
4.88,-0.9310129678757566,-1.13388873597576,-0.7347945380857925
5,-0.9545271375675133,-1.1627790955472916,-0.7531819084936504
5.15,-0.983978269814726,-1.1989678328242763,-0.7761987756763788
5.3,-1.0134944460030835,-1.235236243686706,-0.7992527347134123
5.5,-1.0529501919484394,-1.2837077693531649,-0.8300504369057037
5.65,-1.0826168896067307,-1.320137378013297,-0.8531939807516205
5.8,-1.1123466827166073,-1.356622782832401,-0.8763770491593813
6,-1.152082032850672,-1.4053399427441908,-0.9073502487718885
6.15,-1.1819527642786372,-1.441915995615064,-0.930627570512935
6.3,-1.21188013228165,-1.4785111235904864,-0.9539459258478072
6.45,-1.2418611932590906,-1.515111788954553,-0.9773055449594089
6.6,-1.2718925047057734,-1.5517033345773685,-1.000706541146176
6.75,-1.3019701092084675,-1.5882700312285647,-1.0241489027255517
6.88,-1.3280713590930797,-1.619928154170752,-1.0444989677898948
7,-1.3521898967747745,-1.649113414561516,-1.0633109715790123
