Freq.	V(out)
1.00000000000000e+00	(-2.69224338980216e-02dB,-1.02242619902822e+01°)
1.02329299228075e+00	(-2.81898327999174e-02dB,-1.04624069982558e+01°)
1.04712854805090e+00	(-2.95170445004780e-02dB,-1.07060985485042e+01°)
1.07151930523761e+00	(-3.09068961053749e-02dB,-1.09554658019971e+01°)
1.09647819614318e+00	(-3.23623487929575e-02dB,-1.12106409264687e+01°)
1.12201845430196e+00	(-3.38865042196572e-02dB,-1.14717591664053e+01°)
1.14815362149688e+00	(-3.54826112366775e-02dB,-1.17389589146673e+01°)
1.17489755493953e+00	(-3.71540729333628e-02dB,-1.20123817857859e+01°)
1.20226443461741e+00	(-3.89044540240737e-02dB,-1.22921726909745e+01°)
1.23026877081238e+00	(-4.07374885958594e-02dB,-1.25784799148958e+01°)
1.25892541179417e+00	(-4.26570882353796e-02dB,-1.28714551942281e+01°)
1.28824955169313e+00	(-4.46673505545833e-02dB,-1.31712537980735e+01°)
1.31825673855641e+00	(-4.67725681356016e-02dB,-1.34780346102541e+01°)
1.34896288259165e+00	(-4.89772379167425e-02dB,-1.37919602135407e+01°)
1.38038426460288e+00	(-5.12860710423935e-02dB,-1.41131969758641e+01°)
1.41253754462275e+00	(-5.37040032011986e-02dB,-1.44419151385557e+01°)
1.44543977074593e+00	(-5.62362054784770e-02dB,-1.47782889066682e+01°)
1.47910838816821e+00	(-5.88880957497552e-02dB,-1.51224965414288e+01°)
1.51356124843621e+00	(-6.16653506448394e-02dB,-1.54747204548780e+01°)
1.54881661891248e+00	(-6.45739181127079e-02dB,-1.58351473067469e+01°)
1.58489319246111e+00	(-6.76200306201773e-02dB,-1.62039681036320e+01°)
1.62181009735893e+00	(-7.08102190186782e-02dB,-1.65813783005226e+01°)
1.65958690743756e+00	(-7.41513271163104e-02dB,-1.69675779047414e+01°)
1.69824365246174e+00	(-7.76505269941466e-02dB,-1.73627715823581e+01°)
1.73780082874937e+00	(-8.13153351087828e-02dB,-1.77671687671387e+01°)
1.77827941003892e+00	(-8.51536292254702e-02dB,-1.81809837720938e+01°)
1.81970085860998e+00	(-8.91736662296555e-02dB,-1.86044359036900e+01°)
1.86208713666287e+00	(-9.33841008674889e-02dB,-1.90377495787908e+01°)
1.90546071796325e+00	(-9.77940054697798e-02dB,-1.94811544443946e+01°)
1.94984459975804e+00	(-1.02412890717456e-01dB,-1.99348855002349e+01°)
1.99526231496888e+00	(-1.07250727510781e-01dB,-2.03991832243132e+01°)
2.04173794466953e+00	(-1.12317970009322e-01dB,-2.08742937014310e+01°)
2.08929613085404e+00	(-1.17625579913980e-01dB,-2.13604687547886e+01°)
2.13796208950223e+00	(-1.23185052068593e-01dB,-2.18579660807166e+01°)
2.18776162394955e+00	(-1.29008441463455e-01dB,-2.23670493866045e+01°)
2.23872113856834e+00	(-1.35108391730476e-01dB,-2.28879885320879e+01°)
2.29086765276777e+00	(-1.41498165225691e-01dB,-2.34210596735500e+01°)
2.34422881531992e+00	(-1.48191674803127e-01dB,-2.39665454119913e+01°)
2.39883291901949e+00	(-1.55203517391755e-01dB,-2.45247349443089e+01°)
2.45470891568503e+00	(-1.62549009496783e-01dB,-2.50959242180219e+01°)
2.51188643150958e+00	(-1.70244224755897e-01dB,-2.56804160894652e+01°)
2.57039578276886e+00	(-1.78306033692349e-01dB,-2.62785204854588e+01°)
2.63026799189538e+00	(-1.86752145818196e-01dB,-2.68905545684420e+01°)
2.69153480392691e+00	(-1.95601154254012e-01dB,-2.75168429050374e+01°)
2.75422870333816e+00	(-2.04872583045616e-01dB,-2.81577176379844e+01°)
2.81838293126445e+00	(-2.14586937373421e-01dB,-2.88135186613431e+01°)
2.88403150312660e+00	(-2.24765756866985e-01dB,-2.94845937988321e+01°)
2.95120922666638e+00	(-2.35431672255521e-01dB,-3.01712989851109e+01°)
3.01995172040201e+00	(-2.46608465604992e-01dB,-3.08739984497600e+01°)
3.09029543251359e+00	(-2.58321134414062e-01dB,-3.15930649036372e+01°)
3.16227766016837e+00	(-2.70595959864406e-01dB,-3.23288797272052e+01°)
3.23593656929628e+00	(-2.83460579546663e-01dB,-3.30818331603236e+01°)
3.31131121482591e+00	(-2.96944065010184e-01dB,-3.38523244928768e+01°)
3.38844156139202e+00	(-3.11077004514593e-01dB,-3.46407622554685e+01°)
3.46736850452531e+00	(-3.25891591392728e-01dB,-3.54475644092451e+01°)
3.54813389233575e+00	(-3.41421718468427e-01dB,-3.62731585337145e+01°)
3.63078054770101e+00	(-3.57703079008394e-01dB,-3.71179820111933e+01°)
3.71535229097172e+00	(-3.74773274725830e-01dB,-3.79824822062505e+01°)
3.80189396320561e+00	(-3.92671931393322e-01dB,-3.88671166381956e+01°)
3.89045144994280e+00	(-4.11440822664192e-01dB,-3.97723531442979e+01°)
3.98107170553497e+00	(-4.31124002744744e-01dB,-4.06986700309967e+01°)
4.07380277804112e+00	(-4.51767948603837e-01dB,-4.16465562098718e+01°)
4.16869383470335e+00	(-4.73421712450056e-01dB,-4.26165113145764e+01°)
4.26579518801592e+00	(-4.96137085250705e-01dB,-4.36090457942841e+01°)
4.36515832240165e+00	(-5.19968772108023e-01dB,-4.46246809784520e+01°)
4.46683592150962e+00	(-5.44974580346807e-01dB,-4.56639491068476e+01°)
4.57088189614874e+00	(-5.71215621200663e-01dB,-4.67273933178118e+01°)
4.67735141287197e+00	(-5.98756526010095e-01dB,-4.78155675866249e+01°)
4.78630092322637e+00	(-6.27665677861581e-01dB,-4.89290366045915e+01°)
4.89778819368445e+00	(-6.58015459599024e-01dB,-5.00683755880471e+01°)
5.01187233627271e+00	(-6.89882519123634e-01dB,-5.12341700049178e+01°)
5.12861383991364e+00	(-7.23348052860869e-01dB,-5.24270152046967e+01°)
5.24807460249771e+00	(-7.58498108206798e-01dB,-5.36475159357560e+01°)
5.37031796370252e+00	(-7.95423905665764e-01dB,-5.48962857317651e+01°)
5.49540873857623e+00	(-8.34222181247292e-01dB,-5.61739461466431e+01°)
5.62341325190348e+00	(-8.74995549494742e-01dB,-5.74811258149350e+01°)
5.75439937337156e+00	(-9.17852887260272e-01dB,-5.88184593117851e+01°)
5.88843655355588e+00	(-9.62909738009320e-01dB,-6.01865857838072e+01°)
6.02559586074356e+00	(-1.01028873601960e+00dB,-6.15861473191568e+01°)
6.16595001861481e+00	(-1.06012004932068e+00dB,-6.30177870220499e+01°)
6.30957344480192e+00	(-1.11254183958637e+00dB,-6.44821467539245e+01°)
6.45654229034654e+00	(-1.16770073642680e+00dB,-6.59798645005013e+01°)
6.60693448007594e+00	(-1.22575232261563e+00dB,-6.75115713212990e+01°)
6.76082975391980e+00	(-1.28686162571509e+00dB,-6.90778878358720e+01°)
6.91830970918935e+00	(-1.35120361031480e+00dB,-7.06794201993567e+01°)
7.07945784384136e+00	(-1.41896366366966e+00dB,-7.23167555191008e+01°)
7.24435960074988e+00	(-1.49033806590188e+00dB,-7.39904566644966e+01°)
7.41310241300915e+00	(-1.56553443412633e+00dB,-7.57010564239979e+01°)
7.58577575029182e+00	(-1.64477212787633e+00dB,-7.74490509670649e+01°)
7.76247116628690e+00	(-1.72828260107466e+00dB,-7.92348925748904e+01°)
7.94328234724279e+00	(-1.81630968355214e+00dB,-8.10589816126940e+01°)
8.12830516164097e+00	(-1.90910977282212e+00dB,-8.29216577286031e+01°)
8.31763771102669e+00	(-2.00695191455911e+00dB,-8.48231902801686e+01°)
8.51138038202374e+00	(-2.11011774810914e+00dB,-8.67637680098094e+01°)
8.70963589956078e+00	(-2.21890129151990e+00dB,-8.87434880152908e+01°)
8.91250938133743e+00	(-2.33360853918399e+00dB,-9.07623440909178e+01°)
9.12010839355907e+00	(-2.45455684443670e+00dB,-9.28202145494368e+01°)
9.33254300796988e+00	(-2.58207405955918e+00dB,-9.49168496733724e+01°)
9.54992586021433e+00	(-2.71649740684397e+00dB,-9.70518589869944e+01°)
9.77237220955808e+00	(-2.85817205692270e+00dB,-9.92246985851730e+01°)
9.99999999999997e+00	(-3.00744939465905e+00dB,-1.01434658801375e+02°)
1.02329299228075e+01	(-3.16468495876156e+00dB,-1.03680852541793e+02°)
1.04712854805090e+01	(-3.33023604899268e+00dB,-1.05962204653331e+02°)
1.07151930523760e+01	(-3.50445900447066e+00dB,-1.08277442726631e+02°)
1.09647819614318e+01	(-3.68770616797895e+00dB,-1.10625089758026e+02°)
1.12201845430196e+01	(-3.88032256416152e+00dB,-1.13003459102388e+02°)
1.14815362149688e+01	(-4.08264233356425e+00dB,-1.15410652138875e+02°)
1.17489755493953e+01	(-4.29498497907215e+00dB,-1.17844559040444e+02°)
1.20226443461741e+01	(-4.51765149561262e+00dB,-1.20302862983558e+02°)
1.23026877081238e+01	(-4.75092046712727e+00dB,-1.22783048056040e+02°)
1.25892541179416e+01	(-4.99504422576088e+00dB,-1.25282411019347e+02°)
1.28824955169313e+01	(-5.25024517597444e+00dB,-1.27798076959572e+02°)
1.31825673855640e+01	(-5.51671238994783e+00dB,-1.30327018724072e+02°)
1.34896288259165e+01	(-5.79459857947993e+00dB,-1.32866079894579e+02°)
1.38038426460288e+01	(-6.08401754319357e+00dB,-1.35412000901246e+02°)
1.41253754462275e+01	(-6.38504217615127e+00dB,-1.37961447744579e+02°)
1.44543977074592e+01	(-6.69770311234065e+00dB,-1.40511042672842e+02°)
1.47910838816820e+01	(-7.02198804966893e+00dB,-1.43057396069960e+02°)
1.51356124843620e+01	(-7.35784178325143e+00dB,-1.45597138750005e+02°)
1.54881661891248e+01	(-7.70516694731245e+00dB,-1.48126953833560e+02°)
1.58489319246111e+01	(-8.06382544050689e+00dB,-1.50643607400323e+02°)
