Frequency,Nominal,Min,Max
1,-0.02086926264344304,-0.05808644961306352,0.005240384908609692
1.02,-0.021714840632804582,-0.060429492090359624,0.005449836183893882
1.04,-0.022577362879862894,-0.06281864387873726,0.005663251232231057
1.06,-0.02345684155803951,-0.06525388857540936,0.00588061888775132
1.08,-0.02435328911554985,-0.06773520950776558,0.006101927733238622
1.1,-0.025266718277619105,-0.07026258973603938,0.006327166098085783
1.12,-0.02619714204864851,-0.07283601205600522,0.006556322056288029
1.15,-0.027624671737253942,-0.07678243618021745,0.006907374758836236
1.18,-0.029090515294510302,-0.08083235561451775,0.007267172356011233
1.2,-0.030089053208049027,-0.08358976906614929,0.007511874245960075
1.22,-0.0311046550197237,-0.08639313471828708,0.007760430194100869
1.25,-0.03266008484360964,-0.0906843025283244,0.008140460862728648
1.28,-0.03425399259972481,-0.09507875633350234,0.008529085997382588
1.3,-0.03533800024769341,-0.09806574103221216,0.008792920424780857
1.32,-0.036439148411999134,-0.10109858185295169,0.009060538662037505
1.35,-0.03812304471455393,-0.10573377966277435,0.00946902803177259
1.38,-0.03984559984945836,-0.11047204064688358,0.009885946005225498
1.4,-0.041015475477173824,-0.11368810442012474,0.010168547829529527
1.42,-0.042202575881121016,-0.11694992242338968,0.010454856203793899
1.45,-0.04401556196321884,-0.1219283925218523,0.010891232762602761
1.48,-0.04586740534024017,-0.1270096903286613,0.011335855930326794
1.5,-0.047123586058405276,-0.13045431271151242,0.011636824317429037
1.55,-0.05033984237710741,-0.13926552557268726,0.012405052255838708
1.6,-0.05366463853993795,-0.14836168384820175,0.013195634339060848
1.65,-0.057098295457940616,-0.1577424327638308,0.014008276042154974
1.7,-0.06064114762332114,-0.1674074103559648,0.014842670258819772
1.75,-0.06429354340623293,-0.17735624780282092,0.015698496996673104
1.8,-0.06805584535742243,-0.1875885697583794,0.01657542306283721
1.85,-0.07192843051649347,-0.1981039946887393,0.017473101739983874
1.9,-0.07591169072531691,-0.20890213521011264,0.018391172452701048
1.95,-0.08000603294646914,-0.21998259842807014,0.01932926042422643
2,-0.08421187958622181,-0.23134498627727496,0.020286976323563747
2.05,-0.08852966882178563,-0.2429888958612729,0.021263915902944453
2.1,-0.09295985493255232,-0.2549139197917123,0.022259659625617725
2.15,-0.09750290863482199,-0.26711964652639564,0.023273772284038916
2.2,-0.10215931741982805,-0.27960566070563686,0.02430580260838275
2.25,-0.10692958589454814,-0.29237154348631533,0.025355282865423642
2.3,-0.11181423612501067,-0.305416872873088,0.026421728447825667
2.35,-0.1168138079816804,-0.31874122404619043,0.02750463745376952
2.4,-0.12192885948645968,-0.3323441696852322,0.028603490257020775
2.45,-0.12715996716110012,-0.34622528028855937,0.029717749067433963
2.5,-0.1325077263763109,-0.36038412448743345,0.0308468574818617
2.55,-0.1379727517014264,-0.37482026935475465,0.03199024002559527
2.6,-0.14355567725400548,-0.3895332807075569,0.03314730168430859
2.7,-0.15507786534719373,-0.4197881616268587,0.03549998171683848
2.75,-0.16101849700179413,-0.43532915917520054,0.036694308019448126
2.8,-0.16707976780392583,-0.4511452797269041,0.037899728292856455
2.85,-0.1732624148252437,-0.4672360871083936,0.03911554247503493
2.9,-0.1795671967580188,-0.48360114554897327,0.04034102795955735
2.95,-0.18599489425190796,-0.5002400199268424,0.04157543906262398
3,-0.19254631024690755,-0.5171522760051073,0.042818006481183196
3.05,-0.19922227030204814,-0.5343374806575546,0.044067936742099495
3.1,-0.20602362291925472,-0.5517952020836943,0.04532441164261339
3.15,-0.21295123986187073,-0.5695250100126937,0.04658658768209363
3.2,-0.2200060164673012,-0.5875264758959172,0.04785359548531844
3.3,-0.23450074971686524,-0.6243426770137246,0.05039849599005847
3.4,-0.24951546830566568,-0.6622404180540054,0.05295161822338742
3.5,-0.2650582138787128,-0.7012163494684018,0.0555050149678948
3.6,-0.2811374327276336,-0.7412671635029234,0.05805026685945073
3.7,-0.297761983798758,-0.7823895972963023,0.060578462058158214
3.9,-0.3326846246815127,-0.8678365095395291,0.06554544765022938
4,-0.3510025573505139,-0.912154702080711,0.06796376313985658
4.1,-0.3699055183060961,-0.9575319423931116,0.07032402876038242
4.2,-0.38940452234572,-1.0039652069042073,0.0726145514365001
4.32,-0.41360626800099476,-1.0610748844088966,0.0752537329203295
4.45,-0.44083600683567714,-1.1246490225360466,0.0779533217042088
4.58,-0.46914416031674055,-1.1899905088245988,0.08045728206517243
4.75,-0.5078376631988444,-1.278093355499488,0.083382229281607
4.88,-0.5387461864691763,-1.3474895036649126,0.08530733620700925
5,-0.5683221051489463,-1.4130980260912065,0.08680910230941073
5.15,-0.6067429828236388,-1.4971942935470341,0.08826595539619125
5.3,-0.646824769270194,-1.5835989471898273,0.08919529804954465
5.5,-0.702944422938029,-1.702379061983115,0.08949420482296967
5.65,-0.747114859070866,-1.7941315208649053,0.08891724003285859
5.8,-0.7931330603391538,-1.888158663568117,0.08756580053006711
6,-0.857467881430768,-2.0170475199441675,0.0844131444995149
6.15,-0.9080307777880224,-2.11633853104175,0.08091940074229834
6.3,-0.9606439390126988,-2.2178651864565047,0.07635232754767371
6.45,-1.0153699571651378,-2.321614173424048,0.07061183214404075
6.6,-1.072271793995561,-2.427571259178552,0.06359301869262539
6.75,-1.1314124745211795,-2.535721192318561,0.05518625664667834
6.88,-1.1845272307184702,-2.6312122857348292,0.04668950630695243
7,-1.2351256798034747,-2.7207990851857424,0.03777831783446377
7.15,-1.3005416188202674,-2.8347132990018977,0.025099780526844393
7.32,-1.3776627558977812,-2.9663859413405937,0.008513944207276084
7.5,-1.4628660651138137,-3.108746973434119,-0.011816698303724154
7.65,-1.5367234189294712,-3.2296654344677633,-0.031097672553537174
7.8,-1.6132329683572022,-3.352634251889042,-0.052650303191826835
8,-1.7194580979728458,-3.5197364801025732,-0.08516090985192072
8.2,-1.8305978130660547,-3.690370154951801,-0.12228994688139545
8.4,-1.9467501853602354,-3.8644633689669576,-0.16437262536504935
8.6,-2.0679995897300865,-4.041939039664554,-0.21174302408165338
8.8,-2.1944152850983496,-4.222714962746327,-0.26473046068581324
9,-2.326050147260657,-4.4067039265324475,-0.3236555681146075
9.2,-2.4629395844167226,-4.593813885187849,-0.38882614279020267
9.4,-2.6051006625072644,-4.783948187207561,-0.460532848628014
9.6,-2.752531462663752,-4.977005854666977,-0.5390448767838338
9.8,-2.9052106873431605,-5.172881907936572,-0.6246056742079313
10,-3.0630975252707664,-5.3714677299221645,-0.71742886314775
10.2,-3.2261317784292745,-5.5726514634294215,-0.8176944776138884
10.4,-3.3942342473182463,-5.776318434966056,-0.9255456406209878
10.6,-3.5673073638792845,-5.9823515981828725,-1.0410857972575631
10.8,-3.7452360551431703,-6.190631990204779,-1.1643766033390992
